BASE,CORHEXA,RGBA
\SHEGLAM Complexion Pro Base fosca respirável de longa duração-Porcelain,#fbe2c8,"rgba(251,226,200,255)"
SHEGLAM Complexion Pro Base fosca respirável de longa duração-Fair,#fcd8b7,"rgba(251,215,186,255)"
SHEGLAM Base Matte Fluida Longa Duração Complexion Pro - Chantilly,#e6d2c4,"rgba(230,210,196,255)"
SHEGLAM Complexion Pro Base fosca respirável de longa duração-Shell,#dcba98,"rgba(220,186,152,255)"
SHEGLAM Complexion Pro Base fosca respirável de longa duração-Nude,#eac29e,"rgba(236,196,159,255)"
SHEGLAM Complexion Pro Base fosca respirável de longa duração-Warm Vanilla,#eecba9,"rgba(238,203,169,255)"
SHEGLAM Complexion Pro Base fosca respirável de longa duração-Sand,#edc18c,"rgba(237,193,140,255)"
SHEGLAM Base fosca respirável de longa duração COMPLEXÃO PRO - Pêssego,#d8a88b,"rgba(216,168,139,255)"
SHEGLAM Complexion Pro Base fosca respirável de longa duração-Honey,#e5c396,"rgba(229,195,150,255)"
SHEGLAM Base fosca respirável de longa duração COMPLEXÃO PRO - Butterscotch,#e2bc8e,"rgba(226,188,142,255)"
SHEGLAM Base mate respirável de longa duração COMPLEXÃO PRO - trigo,#e0b18f,"rgba(224,177,143,255)"
SHEGLAM Complexion Pro Base fosca respirável de longa duração-Golden,#e0af7f,"rgba(224,175,127,255)"
SHEGLAM Complexion Pro Base fosca respirável de longa duração-Almond,#e9b184,"rgba(233,177,132,255)"
SHEGLAM Complexion Pro Base fosca respirável de longa duração-Walnut,#dca78f,"rgba(220,167,143,255)"
SHEGLAM Complexion Pro Base fosca respirável de longa duração-Chestnut,#d69872,"rgba(214,152,114,255)"
SHEGLAM Base mate respirável de longa duração COMPLEXÃO PRO - caju,#c79980,"rgba(199,153,128,255)"
SHEGLAM Complexion Pro Base fosca respirável de longa duração-Cappuccino,#cf9861,"rgba(207,152,97,255)"
SHEGLAM Base Respirável Fosco de Longa Duração COMPLEXÃO PRO - Caramelo,#c98f6a,"rgba(201,143,106,255)"
SHEGLAM Complexion Pro Base fosca respirável de longa duração-Mahogany,#c18958,"rgba(193,137,88,255)"
SHEGLAM Base mate respirável de longa duração COMPLEXÃO PRO - Terra,#b48052,"rgba(180,128,82,255)"
SHEGLAM Base Respirável Fosco de Longa Duração COMPLEXÃO PRO- Camelo,#b5774c,"rgba(181,119,76,255)"
SHEGLAM Base fosca respirável de longa duração COMPLEXÃO PRO - Avelã,#986240,"rgba(152,98,64,255)"
"SHEGLAM Complexion Pro Base fosca respirável de longa duração-Mocha",#97643e,"rgba(151,100,62,255)"
SHEGLAM Base mate respirável de longa duração COMPLEXÃO PRO - Sândalo,#8b3d25,"rgba(139,61,37,255)"
"SHEGLAM Base Matte Fluida Longa Duração Complexion Pro - Trufa",#a76643,"rgba(167,102,67,255)"
SHEGLAM Base mate respirável de longa duração COMPLEXÃO PRO - noz-moscada,#aa725a,"rgba(170,114,90,255)"
SHEGLAM Base fosca respirável de longa duração COMPLEXÃO PRO - Russet,#7a3e37,"rgba(122,62,55,255)"
SHEGLAM Base fosca respirável de longa duração COMPLEXÃO PRO - Sépia,#753c2f,"rgba(117,60,47,255)"
SHEGLAM Base fosca respirável de longa duração COMPLEXÃO PRO - cravo escuro,#72402d,"rgba(114,64,45,255)"
SHEGLAM Complexion Pro Base fosca respirável de longa duração-Deep,#76593c,"rgba(118,89,60,255)"
